Hotel,Shelf,Barcode,Previous_Barcode,Incubation_Start,Incubation_Duration,Zone,Labware,Has_Been_Run,Is_Lidded,Is_Sealed,Placed_By_Process,Hotel_Physical_Position
Hotel 1,1,123456789016-ELU,123456789001-ELU,,00:00:00,Elution,96 Sample,False,False,False,,1
Hotel 1,2,123456789015-ELU,123456789002-ELU,,00:00:00,Elution,96 Sample,False,False,False,,1
Hotel 1,3,123456789014-ELU,123456789003-ELU,,00:00:00,Elution,96 Sample,False,False,False,,1
Hotel 1,4,123456789013-ELU,123456789004-ELU,,00:00:00,Elution,96 Sample,False,False,False,,1
Hotel 1,5,123456789012-ELU,123456789005-ELU,,00:00:00,Elution,96 Sample,False,False,False,,1
Hotel 1,6,123456789019-ELU,123456789006-ELU,,00:00:00,Elution,96 Sample,False,False,False,,1
Hotel 1,7,123456789004-ELU,123456789007-ELU,,00:00:00,Elution,96 Sample,False,False,False,,1
Hotel 1,8,123456789003-ELU,000000000008-ELU,,00:00:00,Elution,96 Sample,False,False,False,,1
Hotel 1,9,123456789002-ELU,123456789009-ELU,,00:00:00,Elution,96 Sample,False,False,False,,1
Hotel 1,10,123456789001-ELU,123456789010-ELU,,00:00:00,Elution,96 Sample,False,False,False,,1
Hotel 1,11,123456789000-ELU,123456789011-ELU,,00:00:00,Elution,96 Sample,False,False,False,,1
Hotel 1,12,123456789009-ELU,123456789012-ELU,,00:00:00,Elution,96 Sample,False,False,False,,1
Hotel 1,13,123456789008-ELU,123456789013-ELU,,00:00:00,Elution,96 Sample,False,False,False,,1
Hotel 1,14,123456789007-ELU,123456789014-ELU,,00:00:00,Elution,96 Sample,False,False,False,,1
Hotel 1,15,123456789006-ELU,123456789015-ELU,,00:00:00,Elution,96 Sample,False,False,False,,1
Hotel 1,16,123456789005-ELU,100000000004-ELU,,00:00:00,Elution,96 Sample,False,False,False,,1
Hotel 1,17,,,,00:00:00,NOT_USED,96 Sample,False,False,False,,1
Hotel 1,18,,,,00:00:00,NOT_USED,96 Sample,False,False,False,,1
Hotel 1,19,,,,00:00:00,NOT_USED,96 Sample,False,False,False,,1
Hotel 1,20,,,,00:00:00,NOT_USED,96 Sample,False,False,False,,1
Hotel 1,21,,,,00:00:00,NOT_USED,96 Sample,False,False,False,,1
Hotel 2,1,,,,00:00:00,Empty,384 PCR,False,False,False,,2
Hotel 2,2,,,,00:00:00,Empty,384 PCR,False,False,False,,2
Hotel 2,3,,,,00:00:00,Empty,384 PCR,False,False,False,,2
Hotel 2,4,,,,00:00:00,Empty,384 PCR,False,False,False,,2
Hotel 2,5,,,,00:00:00,Empty,384 PCR,False,False,False,,2
Hotel 2,6,,,,00:00:00,Empty,384 PCR,False,False,False,,2
Hotel 2,7,,,,00:00:00,Empty,384 PCR,False,False,False,,2
